종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
111380,동인기연,KOSPI,기타제조업,22150,-400,-1.77,135735200000
163560,동일고무벨트,KOSPI,화학,8150,240,3.03,113285000000
4890,동일산업,KOSPI,철강금속,42500,700,1.67,103071637500
2690,동일제강,KOSPI,철강금속,1638,-11,-0.67,33251989680
20,동화약품,KOSPI,의약품,8000,10,0.13,223451760000
150,두산,KOSPI,기타금융,222500,-500,-0.22,3676553287500
157,두산2우B,KOSPI,기타금융,89000,-800,-0.89,79480382000
454910,두산로보틱스,KOSPI,기계,79400,3200,4.2,5146706412000
241560,두산밥캣,KOSPI,기계,50300,700,1.41,5042533049800
34020,두산에너빌리티,KOSPI,기계,21000,1460,7.47,13451784066000
155,두산우,KOSPI,기타금융,88500,-500,-0.56,353686887000
336260,두산퓨얼셀,KOSPI,전기전자,20600,450,2.23,1349170755600
33626K,두산퓨얼셀1우,KOSPI,전기전자,6400,110,1.75,85530880000
33626L,두산퓨얼셀2우B,KOSPI,전기전자,10330,170,1.67,30848479000
16740,두올,KOSPI,운수장비,3560,40,1.14,114157380800
192650,드림텍,KOSPI,전기전자,9460,-30,-0.32,651532544520
24090,디씨엠,KOSPI,철강금속,12310,-20,-0.16,140334000000
3160,디아이,KOSPI,의료정밀,22900,-50,-0.22,648070000000
92200,디아이씨,KOSPI,운수장비,5280,20,0.38,205331644320
377190,디앤디플랫폼리츠,KOSPI,서비스업,3365,-15,-0.44,216706000000
13570,디와이,KOSPI,기타금융,5080,-10,-0.2,133703735640
210540,디와이파워,KOSPI,기계,13310,110,0.83,146965133480
115390,락앤락,KOSPI,화학,8750,0,0,379106096250
32350,롯데관광개발,KOSPI,서비스업,9840,230,2.39,749770440720
89860,롯데렌탈,KOSPI,서비스업,31950,300,0.95,1170458312850
330590,롯데리츠,KOSPI,서비스업,3260,-5,-0.15,792078561840
400,롯데손해보험,KOSPI,보험,2705,0,0,839459745600
23530,롯데쇼핑,KOSPI,유통업,62400,600,0.97,1765218312000
20150,롯데에너지머티리얼즈,KOSPI,전기전자,51000,-700,-1.35,2351652585000
280360,롯데웰푸드,KOSPI,음식료품,169700,-1000,-0.59,1601047207800
286940,롯데이노베이트,KOSPI,서비스업,26700,350,1.33,403954098900
4000,롯데정밀화학,KOSPI,화학,46550,400,0.87,1200990000000
4990,롯데지주,KOSPI,기타금융,25050,-100,-0.4,2627976386850
00499K,롯데지주우,KOSPI,기타금융,35400,400,1.14,28518346200
5300,롯데칠성,KOSPI,음식료품,127700,-1000,-0.78,1184913486800
5305,롯데칠성우,KOSPI,음식료품,67400,0,0,52255894000
11170,롯데케미칼,KOSPI,화학,107400,-800,-0.74,4594080000600
71840,롯데하이마트,KOSPI,유통업,9060,10,0.11,213885870720
27740,마니커,KOSPI,음식료품,1143,24,2.14,72593333604
