배정기준일,현금배당지급일,종목코드,종목명,주당배당금
20231231,20240425,005965,동부건설1우,350
20231231,20240306,026960,동서,780
20231231,,002210,동성제약,0
20231231,20240424,102260,동성케미컬,200
20231231,20240423,033500,동성화인텍,250
20231231,20240423,025950,동신건설,150
20231231,20240419,060970,동아닷컴,0
20231231,20240418,000640,동아쏘시오홀딩스,1200
20231231,20240419,170900,동아에스티,700
20231231,20240416,088130,동아엘텍,150
20231231,20240411,041930,동아화성,150
20231231,20240419,001520,동양,40
20231231,20240419,001525,동양1우,90
20231231,20240419,001527,동양2우,150
20231231,20240419,001529,동양3우,150
20231231,20240419,00152A,동양4우,150
20231231,,084670,동양고속,0
20231231,20240405,060380,동양에스텍,50
20231231,20240412,079960,동양이엔피,400
20231231,20240408,060830,동양잉크,0
20231231,,228340,동양파일,0
20231231,20240425,092780,동양피스톤,100
20231231,20240426,088910,동우팜투테이블,30
20231231,20240416,094170,동운아나텍,70
20231231,20240426,013120,동원개발,80
20231231,,030720,동원수산,0
20231231,20240426,111380,동인기연,560
20231231,20240415,163560,동일고무벨트,150
20231231,20240416,109860,동일금속,400
20231231,20240423,032960,동일기연,35
20231231,20240405,004890,동일산업,1000
20231231,,023790,동일철강,0
20231231,20240419,005290,동진쎄미켐,120
20231231,,025900,동화기업,0
20231231,20240425,000020,동화약품,180
20231231,20240425,389930,두나무,2937
20231231,20240425,38993L,두나무2우,2937
20231231,,034020,두산에너빌리티,0
20231231,,33626K,두산퓨얼셀1우선주,0
20231231,,33626L,두산퓨얼셀2우선주(신형),0
20231231,,336260,두산퓨얼셀보통주,0
20231231,20240422,016740,두올,120
20231231,20240419,013900,두원중공업,500
20231231,,073190,듀오백,0
20231231,,176750,듀켐바이오,0
20231231,,030350,드래곤플라이,0
20231231,,035430,드림라인,0
20231231,20240425,03543L,드림라인 2우,0
20231231,20240425,03543K,드림라인1우,0
20231231,,203650,드림시큐리티,0
20231231,,060570,드림어스컴퍼니,0
20231231,,06057K,드림어스컴퍼니1우,0
20231231,20240419,192650,드림텍,200
20231231,,217620,디딤이앤에프,0
20231231,,016670,디모아,0
20231231,20240412,187870,디바이스이엔지,100
20231231,,456440,디비금융제11호기업인수목적,0
20231231,20240415,066670,디스플레이테크,50
20231231,20240412,024090,디씨엠,150
20231231,20240415,003160,디아이,100
20231231,20240328,001530,디아이동일,250
20231231,,092200,디아이씨,0
20231231,20240419,110990,디아이티,180
20231231,20240419,263690,디알젬,180
20231231,20240412,214680,디알텍,0
20231231,20240412,21468K,디알텍 1우,.1
20231231,,263720,디앤씨미디어,0
20231231,,376300,디어유,0
20231231,,017860,디에스단석,0
20231231,20240417,241520,디에스씨인베스트먼트,40
20231231,20240426,155660,디에스알,60
20231231,,069730,디에스알제강,60
20231231,,109740,디에스케이,0
20231231,,290120,디에이치오토리드,0
20231231,,025440,디에이치오토웨어,0
20231231,,196490,디에이테크놀로지,0
20231231,,066900,디에이피,0
20231231,,180400,디엑스앤브이엑스,0
20231231,,127120,디엔에이링크,0
20231231,20240415,092070,디엔에프,200
20231231,20240419,000210,디엘,1000
20231231,20240419,000215,디엘1우,1050
20231231,20240412,001880,디엘건설,190
20231231,20240412,00188K,디엘건설1우,1196
20231231,20240419,375500,디엘이앤씨,500
20231231,20240419,37550K,디엘이앤씨 1우,550
20231231,20240419,37550L,디엘이앤씨2우,500
20231231,20240425,068790,디엠에스,90
20231231,20240412,013570,디와이,150
20231231,20240409,310870,디와이씨,25
20231231,20240412,210540,디와이파워,400
20231231,,104460,디와이피엔에프,200
20231231,,079810,디이엔티,0
20231231,,113810,디젠스,0
20231231,20240404,068930,디지털대성,200
20231231,20240419,033130,디지틀조선일보,20
20231231,,060900,디지피,0
20231231,20240424,105740,디케이락,250
20231231,20240412,263020,디케이앤디,50
20231231,,290550,디케이티,0
20231231,,187220,디티앤씨,0
20231231,,383930,디티앤씨알오,0
20231231,,131180,딜리,0
20231231,,315640,딥노이드,0
20231231,,31564K,딥노이드1우,0
20231231,,223310,딥마인드플랫폼,0
20231231,,042510,라온시큐어,0
20231231,20240415,232680,라온테크,30
20231231,,418420,라온텍,0
20231231,,300120,라온피플(주),0
20231231,20240412,171120,라이온켐텍,100
20231231,,388790,라이콤,0
20231231,,347700,라이프시맨틱스,0
20231231,,214260,라파스,0
20231231,,403360,라피치,0
20231231,,200350,래몽래인,0
20231231,,20035N,래몽래인 4우,0
20231231,,171010,램테크놀러지,0
20231231,,084650,랩지노믹스,0
20231231,20240425,217500,러셀,30
20231231,20240402,038390,레드캡투어,700
20231231,,294140,레몬,0
20231231,,443250,레뷰코퍼레이션,0
20231231,,228670,레이,0
20231231,,22867K,레이1우,0
20231231,20240418,228850,레이언스,100
20231231,,412350,레이저쎌,0
20231231,,199550,레이저옵텍,0
20231231,,281740,레이크머티리얼즈,0
20231231,,277810,레인보우로보틱스,0
20231231,20240404,215100,로보로보,14
20231231,,238500,로보쓰리에이아이앤로보틱스,0
20231231,,108490,로보티즈,0
20231231,,10849L,로보티즈 2우,0
20231231,,223220,로지스몬,0
20231231,20240416,067730,로지시스,60
20231231,20240401,071280,로체시스템즈,50
20231231,,032350,롯데관광개발,0
